Date : 2024-03-14 13:43:35
Directory : c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama
Total : 149 files,  4742 codes, 437 comments, 655 blanks, all 5834 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lib\view\drawer (Files)                                                                                                         |          1 |         36 |          0 |          4 |         40 |
| lib\view\drawer\widgets                                                                                                         |          3 |        132 |          5 |         11 |        148 |
| lib\view\student                                                                                                                |          2 |        160 |          0 |          7 |        167 |
| lib\view\student (Files)                                                                                                        |          1 |        127 |          0 |          5 |        132 |
| lib\view\student\widgets                                                                                                        |          1 |         33 |          0 |          2 |         35 |
| lib\view\teacher                                                                                                                |          4 |        199 |         44 |         23 |        266 |
| lib\view\teacher (Files)                                                                                                        |          2 |         77 |         41 |         14 |        132 |
| lib\view\teacher\widgets                                                                                                        |          2 |        122 |          3 |          9 |        134 |
| lib\view\trailing_dashboard                                                                                                     |          5 |        234 |          7 |         17 |        258 |
| lib\view\trailing_dashboard (Files)                                                                                             |          1 |         25 |          0 |          3 |         28 |
| lib\view\trailing_dashboard\widgets                                                                                             |          4 |        209 |          7 |         14 |        230 |
| lib\view\trailing_teacher                                                                                                       |          5 |        203 |          0 |         14 |        217 |
| lib\view\trailing_teacher (Files)                                                                                               |          1 |         16 |          0 |          3 |         19 |
| lib\view\trailing_teacher\widgets                                                                                               |          4 |        187 |          0 |         11 |        198 |
| lib\view\users                                                                                                                  |         13 |        477 |          5 |         41 |        523 |
| lib\view\users (Files)                                                                                                          |          2 |         53 |          0 |          6 |         59 |
| lib\view\users\widgets                                                                                                          |         11 |        424 |          5 |         35 |        464 |
| linux                                                                                                                           |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                                                                   |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                                                   |          3 |         26 |          9 |         17 |         52 |
| macos                                                                                                                           |          9 |        490 |          5 |         19 |        514 |
| macos\Flutter                                                                                                                   |          1 |          4 |          3 |          4 |         11 |
| macos\Runner                                                                                                                    |          5 |        463 |          0 |          9 |        472 |
| macos\Runner (Files)                                                                                                            |          3 |         52 |          0 |          7 |         59 |
| macos\Runner.xcodeproj                                                                                                          |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace                                                                                      |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                         |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace                                                                                                        |          1 |          8 |          0 |          1 |          9 |
| macos\Runner.xcworkspace\xcshareddata                                                                                           |          1 |          8 |          0 |          1 |          9 |
| macos\RunnerTests                                                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                         |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                            |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                             |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                         |         11 |        454 |         94 |        149 |        697 |
| windows\flutter                                                                                                                 |          3 |         26 |          9 |         17 |         52 |
| windows\runner                                                                                                                  |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\README.md                                                                          | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\analysis_options.yaml                                                              | YAML       |          3 |         22 |          4 |         29 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\build.gradle                                                           | Gradle     |         51 |          5 |         12 |         68 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\debug\AndroidManifest.xml                                          | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\AndroidManifest.xml                                           | XML        |         27 |          6 |          1 |         34 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\drawable-v21\launch_background.xml                        | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\drawable\launch_background.xml                            | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\values-night\styles.xml                                   | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\main\res\values\styles.xml                                         | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\app\src\profile\AndroidManifest.xml                                        | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\build.gradle                                                               | Gradle     |         26 |          0 |          5 |         31 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\gradle.properties                                                          | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\gradle\wrapper\gradle-wrapper.properties                                   | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\android\settings.gradle                                                            | Gradle     |         24 |          0 |          6 |         30 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Activity.svg                                                          | XML        |         10 |          0 |          1 |         11 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Attachment.svg                                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Call.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Dots.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Email.svg                                                             | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Location.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Quote.svg                                                             | XML        |          6 |          0 |          1 |          7 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Search.svg                                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\User.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\Video.svg                                                             | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\bell-1.svg                                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\bell.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\calendar.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\chat.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\clock.svg                                                             | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\dropdown.svg                                                          | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\family.svg                                                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\finance.svg                                                           | XML        |          4 |          0 |          1 |          5 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\food.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\gear.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\home.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\print.svg                                                             | XML        |         12 |          0 |          1 |         13 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\sent.svg                                                              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\student.svg                                                           | XML        |         10 |          0 |          1 |         11 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\teacher.svg                                                           | XML        |         10 |          0 |          1 |         11 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\assets\icons\trending.svg                                                          | XML        |         10 |          0 |          1 |         11 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Flutter\AppFrameworkInfo.plist                                                 | XML        |         26 |          0 |          1 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist     | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                       | XML        |          8 |          0 |          1 |          9 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\RunnerTests\RunnerTests.swift                                                  | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\AppDelegate.swift                                                       | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                        | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                      | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                          | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Base.lproj\LaunchScreen.storyboard                                      | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Base.lproj\Main.storyboard                                              | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Info.plist                                                              | XML        |         49 |          0 |          1 |         50 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\ios\Runner\Runner-Bridging-Header.h                                                | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\app_colors.dart                                                      | Dart       |         18 |          0 |          2 |         20 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\app_font_style.dart                                                  | Dart       |        166 |          8 |         22 |        196 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\constants\assets.dart                                                          | Dart       |         46 |         86 |         45 |        177 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\controller\drawer_controller.dart                                              | Dart       |         14 |          0 |          4 |         18 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\helper\color_extention.dart                                                    | Dart       |         30 |          0 |          4 |         34 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\helper\custom_grid_painter.dart                                                | Dart       |         32 |          0 |          8 |         40 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\main.dart                                                                      | Dart       |         23 |          0 |          4 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\dashboard_item_model.dart                                                | Dart       |         36 |          0 |          4 |         40 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\drawer_item_model.dart                                                   | Dart       |         17 |          0 |          4 |         21 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\item_card_user_model.dart                                                | Dart       |         12 |          1 |          4 |         17 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\schedule_details_model.dart                                              | Dart       |         45 |          0 |          5 |         50 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\model\student_payment_model.dart                                               | Dart       |         14 |          0 |          3 |         17 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\adaptive_layout_widget.dart                                              | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\circle_button_with_border.dart                                           | Dart       |         36 |          0 |          2 |         38 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\custom_search.dart                                                       | Dart       |         41 |          0 |          3 |         44 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\header_with_search.dart                                                  | Dart       |         35 |          0 |          2 |         37 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\pagination.dart                                                          | Dart       |         93 |          0 |          3 |         96 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\row_info.dart                                                            | Dart       |         35 |          0 |         15 |         50 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\utils\size_config.dart                                                         | Dart       |         10 |          0 |          4 |         14 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\dashboard_view.dart                                             | Dart       |         34 |          0 |          2 |         36 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\dashboard_with_trailing.dart                                    | Dart       |         35 |          0 |          3 |         38 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_item.dart                                     | Dart       |         41 |          0 |          3 |         44 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_section_calender.dart                         | Dart       |         29 |          0 |          3 |         32 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\dashboard_section_details.dart                          | Dart       |         29 |          0 |          3 |         32 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\fl_char.dart                                            | Dart       |        209 |          0 |         19 |        228 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\header_flchar.dart                                      | Dart       |         38 |          0 |          3 |         41 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\item_inside_header_flchar.dart                          | Dart       |         52 |          0 |          3 |         55 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\row_days.dart                                           | Dart       |         21 |          0 |          4 |         25 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\row_unpaid_student.dart                                 | Dart       |        129 |          0 |          4 |        133 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\table_calander.dart                                     | Dart       |         32 |          0 |          3 |         35 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\title_with_month.dart                                   | Dart       |         37 |          0 |          3 |         40 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\dashboard\widgets\unpaid_student.dart                                     | Dart       |         48 |          0 |          2 |         50 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\desktop.dart                                                              | Dart       |         18 |          0 |          3 |         21 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\drawer\drawer_view.dart                                                   | Dart       |         36 |          0 |          4 |         40 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\drawer\widgets\drawer_header.dart                                         | Dart       |         49 |          5 |          4 |         58 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\drawer\widgets\drawer_item.dart                                           | Dart       |         51 |          0 |          4 |         55 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\drawer\widgets\drawer_list_item.dart                                      | Dart       |         32 |          0 |          3 |         35 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\sama.dart                                                                 | Dart       |         16 |          0 |          3 |         19 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\student\students_view.dart                                                | Dart       |        127 |          0 |          5 |        132 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\student\widgets\student_with_triling.dart                                 | Dart       |         33 |          0 |          2 |         35 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\teacher\teacher_view.dart                                                 | Dart       |         42 |         41 |         11 |         94 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\teacher\teacher_with_trailing.dart                                        | Dart       |         35 |          0 |          3 |         38 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\teacher\widgets\education_item.dart                                       | Dart       |         41 |          0 |          2 |         43 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\teacher\widgets\teachers_info.dart                                        | Dart       |         81 |          3 |          7 |         91 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_dashboard\trailing_dashboard_view.dart                           | Dart       |         25 |          0 |          3 |         28 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_dashboard\widgets\item_recent_students.dart                      | Dart       |         58 |          0 |          4 |         62 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_dashboard\widgets\trailing_dashboard_header.dart                 | Dart       |         78 |          7 |          3 |         88 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_dashboard\widgets\trailing_dashboard_section_student.dart        | Dart       |         56 |          0 |          3 |         59 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_dashboard\widgets\trailing_dashboard_students.dart               | Dart       |         17 |          0 |          4 |         21 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_teacher\trailing_teacher.dart                                    | Dart       |         16 |          0 |          3 |         19 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_teacher\widgets\header_trailing_teacher.dart                     | Dart       |         48 |          0 |          3 |         51 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_teacher\widgets\icon_with_text_inside_item_schedule_details.dart | Dart       |         38 |          0 |          2 |         40 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_teacher\widgets\item_schedule_details.dart                       | Dart       |         77 |          0 |          3 |         80 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\trailing_teacher\widgets\list_item_schedule_details.dart                  | Dart       |         24 |          0 |          3 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\users_view.dart                                                     | Dart       |         29 |          0 |          3 |         32 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\users_with_trailing.dart                                            | Dart       |         24 |          0 |          3 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\avatar_with_background.dart                                 | Dart       |         29 |          0 |          2 |         31 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\list_user_pagination.dart                                   | Dart       |         38 |          0 |          4 |         42 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\permissions.dart                                            | Dart       |         37 |          2 |          5 |         44 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\permissions_item.dart                                       | Dart       |         42 |          3 |          4 |         49 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\row_active_not_active.dart                                  | Dart       |         47 |          0 |          3 |         50 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\user_card_info.dart                                         | Dart       |         36 |          0 |          3 |         39 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\user_header.dart                                            | Dart       |         24 |          0 |          3 |         27 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\user_info.dart                                              | Dart       |         63 |          0 |          2 |         65 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\user_item_card.dart                                         | Dart       |         45 |          0 |          3 |         48 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\user_stack_widget.dart                                      | Dart       |         46 |          0 |          3 |         49 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\lib\view\users\widgets\users_and_premissions.dart                                  | Dart       |         17 |          0 |          3 |         20 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\flutter\generated_plugin_registrant.cc                                       | C++        |          3 |          4 |          5 |         12 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\flutter\generated_plugin_registrant.h                                        | C++        |          5 |          5 |          6 |         16 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\flutter\generated_plugins.cmake                                              | CMake      |         18 |          0 |          6 |         24 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\main.cc                                                                      | C++        |          5 |          0 |          2 |          7 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\my_application.cc                                                            | C++        |         74 |         11 |         20 |        105 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\linux\my_application.h                                                             | C++        |          7 |          7 |          5 |         19 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\macos\Flutter\GeneratedPluginRegistrant.swift                                      | Swift      |          4 |          3 |          4 |         11 |
| c:\Users\Ayman_Alkhatib\Desktop\Flutter\sama\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist   | XML        |          8 |          0 |          1 |          9 |
